name,categories,address,city,postalCode,state,country,latitude,longitude,count
Jack's,"Breakfast Brunch and Lunch Restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",5375 Highway 68 W,Collinsville,35961,AL,US,34.267956,-85.86197,57
Sonic Drive-In,"Fast Food Restaurants,American Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Hot Dog Stands and Restaurants,Restaurants,Take Out Restaurants",1655 W Main Street,Centre,35960,AL,US,34.15898,-85.70809,285
McDonald's,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants",650 Cedar Bluff Road,Centre,35960,AL,US,34.16017,-85.6682,784
Jack's,"Hamburgers & Hot Dogs,Breakfast Brunch and Lunch Restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Breakfast Brunch & Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",801 Us Highway 80 W,Demopolis,36732,AL,US,32.497890000000005,-87.84711,57
Jack's,"Breakfast Brunch and Lunch Restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",55 Birmingham Road,Centreville,35042,AL,US,32.950325,-87.11924,57
Sonic Drive-In,"Restaurant,American Restaurants,Hot Dog Stands and Restaurants,Fast Food Restaurants,Take Out Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",45 Lakeview Circle,Atmore,36502,AL,US,31.105999999999998,-87.47561,285
Jack's,"Hamburgers & Hot Dogs,Breakfast Brunch and Lunch Restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Breakfast Brunch & Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",202 Memorial Pkwy NE,Aliceville,35442,AL,US,33.127340000000004,-88.14985,57
Jack's,"Breakfast Brunch and Lunch Restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",5707 Veterans Memorial Drive,Adamsville,35005,AL,US,33.60968,-86.96368000000001,57
Arby's,"Fast Food Restaurants,Restaurants",160 Vaughan Lane,Pell City,35125,AL,US,33.60972,-86.28005,252
Dairy Queen,"Carry Out Food,Ice Cream and Frozen Desserts,Fast Food Restaurants,Dessert Restaurants,Hamburgers and Hot Dogs,Restaurants",1104 2nd Ave E,Oneonta,35121,AL,US,33.95857,-86.46367,329
Jack's,"Breakfast Brunch and Lunch Restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",18 Big Valley Drive,Alexandria,36250,AL,US,33.78078,-85.89649,57
Arby's,"American Restaurants,Takeout,Fast Food,Fast Food Restaurants,Concession Stands,Restaurants,Sandwich Shops",7750 Airport Boulevard,Mobile,36608,AL,US,30.684209999999997,-88.22378,252
Whataburger,"American Restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",100 N Craft HWay,Mobile,36611,AL,US,30.761640000000003,-88.07332,40
Taco Bell,"Fast Food Restaurants,Mexican Restaurants,Restaurants",5192 Caldwell Mill Road,Birmingham,35244,AL,US,33.3848,-86.73919000000001,529
Pizza Hut,"Pizza,Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Restaurants",136 Marketplace Cir Ste C,Calera,35040,AL,US,33.15574,-86.74734000000001,474
