Zipcode,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Income Levels
26275,38.97639,-79.95201,548.0,43.6,29167.0,17140.0,195.0,35.583941605839414,"Low(<35,000)"
16625,40.290914,-78.48646,4060.0,40.3,45983.0,23229.0,609.0,15.0,"Middle(<95,000)"
16141,40.853014,-80.40181,1609.0,44.4,46818.0,27629.0,186.0,11.559975139838409,"Middle(<95,000)"
91762,34.057561,-117.66563,61718.0,32.6,60293.0,22896.0,8373.0,13.56654460611167,"Middle(<95,000)"
97438,43.958389,-122.75701,1084.0,55.4,55735.0,36131.0,97.0,8.948339483394834,"Middle(<95,000)"
97842,45.479993,-116.79861,118.0,53.9,-666666666.0,33559.0,10.0,8.474576271186441,
98650,45.981582,-121.5395,946.0,53.4,65000.0,33214.0,124.0,13.10782241014799,"Middle(<95,000)"
98663,45.647667,-122.66162,14430.0,39.6,62020.0,34792.0,1669.0,11.566181566181566,"Middle(<95,000)"
21654,38.690831,-76.14666,986.0,64.2,76136.0,87782.0,38.0,3.8539553752535496,"Middle(<95,000)"
36541,30.487783,-88.32722,15524.0,35.0,58794.0,22590.0,2563.0,16.509920123679464,"Middle(<95,000)"
79001,35.2195,-102.71795,178.0,60.4,68750.0,45103.0,6.0,3.3707865168539324,"Middle(<95,000)"
79532,32.409433,-100.71285,826.0,40.3,64167.0,42519.0,53.0,6.416464891041162,"Middle(<95,000)"
80222,39.669237,-104.92766,23287.0,37.8,64695.0,43602.0,2815.0,12.088289603641517,"Middle(<95,000)"
81052,38.08759,-102.61855,9028.0,37.4,42533.0,23127.0,1442.0,15.972529906956137,"Middle(<95,000)"
82944,41.10401,-110.53733,118.0,43.6,-666666666.0,28699.0,0.0,0.0,
83523,46.223309,-116.48168,823.0,48.3,48375.0,27761.0,83.0,10.08505467800729,"Middle(<95,000)"
68010,41.25973,-96.12833,864.0,16.8,56875.0,3676.0,75.0,8.680555555555555,"Middle(<95,000)"
68333,40.620175,-96.96099,8631.0,29.5,47326.0,23005.0,1645.0,19.059205190592053,"Middle(<95,000)"
68364,40.832663,-97.22019,108.0,44.0,71667.0,30066.0,0.0,0.0,"Middle(<95,000)"
70780,30.287104,-91.15362,1465.0,35.0,71607.0,29276.0,38.0,2.5938566552901023,"Middle(<95,000)"
71046,32.168532,-93.95402,914.0,60.9,46120.0,53093.0,163.0,17.833698030634572,"Middle(<95,000)"
71968,34.522254,-93.25662,4256.0,49.8,64837.0,28733.0,226.0,5.31015037593985,"Middle(<95,000)"
72374,34.554559,-90.84231,848.0,44.3,-666666666.0,23141.0,98.0,11.556603773584905,
72801,35.278429,-93.13682,19074.0,26.2,33761.0,17711.0,3992.0,20.92901331655657,"Low(<35,000)"
85933,34.392829,-110.52048,2697.0,63.0,38651.0,24838.0,424.0,15.721171672228403,"Middle(<95,000)"
64653,39.884096,-93.19234,688.0,41.8,61000.0,27495.0,45.0,6.540697674418604,"Middle(<95,000)"
64763,38.137769,-93.73225,1467.0,56.7,37045.0,22901.0,270.0,18.404907975460123,"Middle(<95,000)"
56729,48.655487,-96.59592,97.0,51.5,40500.0,22448.0,18.0,18.556701030927837,"Middle(<95,000)"
48739,44.379147,-83.83539,4007.0,60.9,37321.0,23561.0,586.0,14.624407287247317,"Middle(<95,000)"
49614,44.433903,-86.12625,2942.0,49.8,54342.0,25981.0,429.0,14.581917063222297,"Middle(<95,000)"
